relative_path,actor_id,label,split,source,source_sha1
Actor_01/03-01-01-01-01-01-01.wav,01,neutral,train,RAVDESS,933c122c0f08eee3d2f447359f286f96cb6e0351
Actor_01/03-01-01-01-01-02-01.wav,01,neutral,train,RAVDESS,dd93477f6433e33a2bb8f85e0334071a3cbc4b53
Actor_01/03-01-01-01-02-01-01.wav,01,neutral,train,RAVDESS,0d7de723fdaa09017cff1c65c6f6a61ad60b378a
Actor_01/03-01-01-01-02-02-01.wav,01,neutral,train,RAVDESS,c947fc6f7597837e84ac4ea213b5c8ac2cd77bd7
Actor_01/03-01-02-01-01-01-01.wav,01,neutral,train,RAVDESS,5d161e632c8ed87593ceac27fbc45ca538d73214
Actor_01/03-01-02-01-01-02-01.wav,01,neutral,train,RAVDESS,ff48861e861b77bf307f63cff1d009fbb94a8ca4
Actor_01/03-01-02-01-02-01-01.wav,01,neutral,train,RAVDESS,00d9ebba3036ca7db20bba00b38b461b679c5491
Actor_01/03-01-02-01-02-02-01.wav,01,neutral,train,RAVDESS,6d2afa4ebe1c56e6ddc6e662bfb88d9866edcb02
Actor_01/03-01-02-02-01-01-01.wav,01,neutral,train,RAVDESS,cfea3fb7926cd842a6ab0f4838475deb9d985b54
Actor_01/03-01-02-02-01-02-01.wav,01,neutral,train,RAVDESS,0a1a6be46b05a3a8ad753fcea6191e3d6439e755
Actor_01/03-01-02-02-02-01-01.wav,01,neutral,train,RAVDESS,facc17ca18e83563dad042437af7d9d9daaa50d9
Actor_01/03-01-02-02-02-02-01.wav,01,neutral,train,RAVDESS,c4e020eaa45a6b4f66a0d86ca03c04bc895c23dd
Actor_01/03-01-03-01-01-01-01.wav,01,happy,train,RAVDESS,57c6fcab7f01c49fe874509dbc332885e103e545
Actor_01/03-01-03-01-01-02-01.wav,01,happy,train,RAVDESS,5bba0800d54b73a0182c2cc4e4d31bb9c2221340
Actor_01/03-01-03-01-02-01-01.wav,01,happy,train,RAVDESS,c579bed4e5f2a111a120c7efc206b9244a63107f
Actor_01/03-01-03-01-02-02-01.wav,01,happy,train,RAVDESS,23c42ffb95d1aa03050bc8c5f28c4a7da589131a
Actor_01/03-01-03-02-01-01-01.wav,01,happy,train,RAVDESS,1076f830af2f14d05c30f86f6f6f550488896591
Actor_01/03-01-03-02-01-02-01.wav,01,happy,train,RAVDESS,09a575c2812d6c890f3723e57d613d74799338cf
Actor_01/03-01-03-02-02-01-01.wav,01,happy,train,RAVDESS,cef33d0cbcba6883e5b1de9bbe8fc519cca5b2df
Actor_01/03-01-03-02-02-02-01.wav,01,happy,train,RAVDESS,c96000b3df320bb4d7626826536bd4120f946b81
Actor_01/03-01-04-01-01-01-01.wav,01,sad,train,RAVDESS,6e9cc1f40cbfcc66d27a7e3d8e3e92c60af370fa
Actor_01/03-01-04-01-01-02-01.wav,01,sad,train,RAVDESS,c23e5564b4ecbdb0f518242e9aa68eeaac37648c
Actor_01/03-01-04-01-02-01-01.wav,01,sad,train,RAVDESS,8ba1b4521fff7509fec82b19223af3076202565a
Actor_01/03-01-04-01-02-02-01.wav,01,sad,train,RAVDESS,9686ba28d2c0bbb28bc687ce1b1783ce73fcb8ec
Actor_01/03-01-04-02-01-01-01.wav,01,sad,train,RAVDESS,11fec6c61b96a3353780285ad5b90ce0ce0e23e5
Actor_01/03-01-04-02-01-02-01.wav,01,sad,train,RAVDESS,7e7e56a37c54a3d4a299ae78a0ff7e2e156fc24c
Actor_01/03-01-04-02-02-01-01.wav,01,sad,train,RAVDESS,7102d5e2c11293bd2d272158e29ad277d048f9f7
Actor_01/03-01-04-02-02-02-01.wav,01,sad,train,RAVDESS,f41ab4f81f5e166f04bf3e0b28b7bc87b551b608
Actor_01/03-01-05-01-01-01-01.wav,01,angry,train,RAVDESS,00dea74ccf0744fe0fa0c4d401fbbcd45ea63e9d
